binned_latitude,binned_longitude,type,subtype,alert_count
41.96,-87.75,ROAD_CLOSED,ROAD_CLOSED_EVENT,9907
41.88,-87.65,ROAD_CLOSED,ROAD_CLOSED_EVENT,5002
41.84,-87.63,ROAD_CLOSED,ROAD_CLOSED_EVENT,4974
41.69,-87.6,ROAD_CLOSED,ROAD_CLOSED_EVENT,4964
41.89,-87.65,ROAD_CLOSED,ROAD_CLOSED_EVENT,4964
41.71,-87.64,ROAD_CLOSED,ROAD_CLOSED_EVENT,4947
41.97,-87.75,ROAD_CLOSED,ROAD_CLOSED_EVENT,4932
41.88,-87.65,JAM,JAM_STAND_STILL_TRAFFIC,4666
41.9,-87.66,JAM,JAM_HEAVY_TRAFFIC,4323
41.89,-87.65,JAM,JAM_STAND_STILL_TRAFFIC,4278
